Index,YearsExperience,Salary
1,1.1,39343.00
2,1.3,46205.00
3,1.5,37731.00
4,2.0,43525.00
5,2.2,39891.00
6,2.9,56642.00
7,3.0,60150.00
8,3.2,54445.00
9,3.2,64445.00
10,3.7,57189.00
11,3.9,63218.00
12,4.0,55794.00
13,4.0,56957.00
14,4.1,57081.00
15,4.5,61111.00
16,4.9,67938.00
17,5.1,66029.00
18,5.3,83088.00
19,5.9,81363.00
20,6.0,93940.00
21,6.8,91738.00
22,7.1,98273.00
23,7.9,101302.00
24,8.2,113812.00
25,8.7,109431.00
26,9.0,105582.00
27,9.5,116969.00
28,9.6,112635.00
29,10.3,122391.00
30,10.5,121872.00
